"AP1","AP2","AP3","AP4","AP5","AP6","Class"
"-75","-79","-81","-18","-53","-60","1"
"-73","-81","-80","-18","-52","-60","1"
"-74","-79","-77","-15","-49","-59","1"
"-73","-77","-80","-15","-50","-61","1"
"-72","-80","-81","-15","-49","-60","1"
"-76","-77","-80","-20","-50","-59","1"
"-74","-78","-81","-16","-50","-59","1"
"-73","-79","-80","-18","-44","-59","1"
"-73","-79","-80","-16","-50","-59","1"
"-73","-78","-79","-16","-50","-56","1"
"-73","-79","-80","-15","-50","-60","1"
"-74","-78","-78","-15","-49","-59","1"
"-75","-78","-81","-15","-49","-59","1"
"-74","-78","-79","-18","-51","-59","1"
"-78","-81","-79","-15","-49","-60","1"
"-75","-79","-79","-17","-50","-59","1"
"-76","-78","-78","-17","-49","-59","1"
"-75","-76","-79","-17","-50","-58","1"
"-74","-79","-77","-16","-45","-59","1"
"-72","-79","-80","-15","-50","-59","1"
"-77","-78","-81","-17","-50","-60","1"
"-73","-79","-80","-16","-53","-60","1"
"-76","-79","-80","-19","-46","-60","1"
"-75","-80","-81","-17","-46","-59","1"
"-75","-79","-81","-17","-51","-60","1"
"-73","-79","-79","-16","-49","-60","1"
"-75","-80","-79","-16","-44","-60","1"
"-74","-79","-80","-17","-51","-59","1"
"-74","-78","-80","-17","-50","-59","1"
"-75","-81","-80","-17","-51","-60","1"
"-73","-82","-81","-17","-50","-59","1"
"-73","-76","-82","-18","-50","-61","1"
"-72","-80","-81","-19","-48","-60","1"
"-74","-79","-81","-18","-50","-60","1"
"-74","-79","-80","-18","-51","-60","1"
"-68","-83","-81","-47","-41","-57","2"
"-69","-85","-83","-47","-50","-58","2"
"-69","-85","-82","-47","-40","-56","2"
"-68","-82","-83","-40","-49","-57","2"
"-69","-83","-79","-40","-41","-56","2"
"-68","-83","-81","-37","-40","-56","2"
"-68","-82","-81","-46","-41","-55","2"
"-68","-82","-82","-39","-48","-56","2"
"-69","-82","-83","-46","-40","-57","2"
"-69","-79","-82","-41","-47","-56","2"
"-70","-83","-82","-44","-47","-56","2"
"-68","-83","-84","-41","-40","-56","2"
"-69","-81","-81","-45","-40","-56","2"
"-68","-81","-80","-39","-40","-59","2"
"-68","-79","-80","-39","-39","-56","2"
"-70","-83","-82","-39","-46","-55","2"
"-69","-86","-82","-40","-49","-59","2"
"-69","-82","-84","-42","-48","-58","2"
"-70","-85","-84","-39","-43","-58","2"
"-68","-84","-82","-42","-42","-57","2"
"-68","-83","-79","-41","-47","-55","2"
"-68","-77","-78","-46","-38","-56","2"
"-69","-82","-82","-40","-46","-55","2"
"-70","-82","-81","-46","-41","-55","2"
"-67","-80","-81","-40","-41","-55","2"
"-67","-84","-80","-40","-46","-55","2"
"-69","-81","-82","-70","-42","-55","2"
"-69","-83","-83","-41","-41","-57","2"
"-69","-83","-82","-41","-42","-56","2"
"-67","-83","-82","-39","-46","-54","2"
"-69","-85","-82","-39","-47","-56","2"
"-69","-83","-81","-45","-42","-57","2"
"-67","-83","-82","-39","-46","-56","2"
"-68","-80","-80","-39","-40","-56","2"
"-66","-80","-81","-38","-40","-55","2"
"-74","-71","-72","-47","-42","-60","3"
"-73","-71","-72","-50","-46","-60","3"
"-72","-70","-73","-44","-47","-58","3"
"-73","-70","-72","-43","-41","-59","3"
"-73","-70","-73","-51","-42","-60","3"
"-74","-71","-70","-50","-47","-59","3"
"-72","-71","-72","-51","-48","-60","3"
"-71","-71","-70","-49","-45","-60","3"
"-71","-69","-70","-49","-40","-60","3"
"-73","-71","-72","-53","-48","-60","3"
"-73","-69","-70","-50","-47","-59","3"
"-71","-71","-73","-50","-40","-59","3"
"-72","-70","-72","-48","-46","-60","3"
"-74","-70","-72","-49","-47","-59","3"
"-74","-69","-72","-50","-46","-60","3"
"-71","-72","-71","-50","-46","-57","3"
"-71","-70","-71","-48","-40","-59","3"
"-71","-69","-69","-48","-45","-58","3"
"-71","-68","-71","-43","-40","-61","3"
"-72","-70","-70","-49","-40","-60","3"
"-72","-71","-71","-51","-46","-60","3"
"-72","-69","-72","-51","-41","-60","3"
"-71","-69","-69","-49","-41","-59","3"
"-74","-70","-72","-50","-40","-60","3"
"-72","-70","-72","-48","-40","-60","3"
"-74","-71","-73","-50","-78","-59","3"
"-71","-71","-71","-59","-43","-58","3"
"-72","-70","-71","-50","-47","-59","3"
"-72","-69","-68","-49","-75","-56","3"
"-73","-71","-69","-50","-45","-59","3"
"-73","-69","-71","-48","-45","-59","3"
"-73","-69","-71","-49","-40","-59","3"
"-73","-70","-68","-51","-39","-56","3"
"-72","-68","-70","-50","-41","-59","3"
"-72","-72","-70","-49","-40","-59","3"
"-69","-81","-82","-59","-36","-58","4"
"-71","-83","-85","-55","-36","-58","4"
"-69","-82","-84","-55","-35","-58","4"
"-71","-76","-84","-57","-35","-59","4"
"-70","-81","-83","-55","-36","-60","4"
"-71","-81","-84","-59","-58","-60","4"
"-71","-85","-83","-54","-36","-60","4"
"-71","-81","-83","-55","-36","-60","4"
"-71","-81","-87","-56","-38","-58","4"
"-72","-83","-84","-56","-36","-59","4"
"-73","-82","-83","-56","-37","-59","4"
"-71","-83","-83","-56","-36","-61","4"
"-71","-77","-83","-56","-36","-60","4"
"-69","-82","-84","-55","-36","-59","4"
"-69","-82","-79","-55","-36","-59","4"
"-70","-82","-84","-54","-35","-59","4"
"-71","-80","-83","-55","-35","-59","4"
"-69","-83","-86","-56","-36","-59","4"
"-69","-78","-84","-54","-35","-58","4"
"-69","-79","-82","-54","-36","-58","4"
"-70","-85","-83","-54","-36","-59","4"
"-69","-80","-85","-72","-37","-58","4"
"-71","-80","-84","-57","-36","-60","4"
"-71","-80","-85","-56","-36","-59","4"
"-72","-82","-84","-54","-37","-57","4"
"-70","-83","-85","-57","-36","-59","4"
"-72","-84","-84","-56","-36","-60","4"
"-71","-81","-83","-57","-37","-59","4"
"-71","-84","-84","-55","-37","-60","4"
"-68","-79","-82","-53","-34","-57","4"
"-73","-84","-81","-57","-36","-59","4"
"-69","-83","-83","-57","-39","-60","4"
"-71","-80","-84","-56","-37","-61","4"
"-73","-81","-80","-58","-36","-59","4"
"-72","-82","-82","-56","-39","-61","4"
"-68","-78","-76","-51","-16","-52","5"
"-69","-75","-77","-52","-14","-51","5"
"-67","-77","-77","-51","-16","-51","5"
"-68","-78","-76","-48","-15","-52","5"
"-68","-77","-79","-52","-17","-52","5"
"-69","-76","-75","-50","-16","-51","5"
"-69","-77","-78","-51","-15","-52","5"
"-68","-77","-77","-51","-14","-52","5"
"-69","-79","-76","-51","-16","-53","5"
"-67","-77","-77","-50","-16","-51","5"
"-68","-77","-76","-50","-14","-51","5"
"-68","-77","-76","-51","-14","-51","5"
"-68","-75","-76","-49","-13","-50","5"
"-68","-79","-79","-51","-17","-54","5"
"-66","-69","-77","-49","-15","-51","5"
"-69","-78","-78","-52","-15","-54","5"
"-67","-76","-79","-51","-45","-51","5"
"-69","-76","-75","-50","-13","-51","5"
"-67","-77","-76","-50","-14","-50","5"
"-68","-77","-76","-52","-15","-53","5"
"-70","-77","-77","-53","-15","-52","5"
"-68","-77","-77","-49","-14","-53","5"
"-68","-77","-78","-51","-15","-53","5"
"-69","-76","-76","-49","-15","-51","5"
"-67","-78","-76","-50","-14","-54","5"
"-68","-80","-77","-53","-16","-51","5"
"-68","-77","-77","-50","-15","-52","5"
"-70","-77","-77","-52","-16","-51","5"
"-68","-78","-77","-49","-16","-52","5"
"-67","-77","-77","-52","-14","-51","5"
"-69","-76","-77","-50","-15","-51","5"
"-68","-76","-76","-51","-15","-50","5"
"-67","-76","-77","-50","-16","-50","5"
"-67","-76","-76","-50","-15","-52","5"
"-69","-77","-79","-50","-15","-51","5"
"-73","-85","-71","-39","-43","-58","6"
"-69","-85","-70","-37","-48","-56","6"
"-69","-82","-72","-38","-50","-57","6"
"-70","-84","-71","-38","-49","-58","6"
"-70","-85","-70","-44","-49","-58","6"
"-70","-86","-73","-40","-44","-58","6"
"-71","-86","-71","-39","-49","-57","6"
"-73","-81","-71","-46","-43","-58","6"
"-70","-86","-69","-40","-49","-60","6"
"-70","-85","-70","-38","-48","-56","6"
"-70","-77","-71","-38","-48","-56","6"
"-69","-86","-72","-37","-41","-58","6"
"-69","-85","-70","-38","-47","-58","6"
"-69","-82","-69","-38","-42","-60","6"
"-69","-83","-72","-37","-42","-57","6"
"-71","-85","-72","-39","-48","-58","6"
"-70","-84","-70","-35","-41","-57","6"
"-72","-87","-70","-37","-48","-57","6"
"-72","-85","-69","-39","-43","-57","6"
"-71","-85","-71","-46","-48","-58","6"
"-72","-85","-73","-39","-48","-59","6"
"-72","-77","-71","-39","-49","-59","6"
"-72","-86","-73","-40","-49","-58","6"
"-72","-84","-72","-39","-49","-57","6"
"-72","-84","-71","-40","-48","-58","6"
"-68","-83","-70","-39","-44","-59","6"
"-71","-84","-71","-45","-42","-58","6"
"-70","-88","-73","-39","-49","-58","6"
"-70","-85","-69","-42","-41","-56","6"
"-70","-83","-69","-44","-47","-57","6"
"-68","-83","-69","-36","-47","-57","6"
"-69","-83","-70","-37","-46","-57","6"
"-73","-85","-71","-45","-50","-59","6"
"-74","-86","-71","-39","-43","-59","6"
"-73","-85","-74","-39","-50","-59","6"
"-71","-71","-72","-53","-57","-52","7"
"-69","-74","-73","-53","-54","-60","7"
"-70","-74","-93","-54","-62","-56","7"
"-71","-75","-73","-52","-72","-56","7"
"-69","-74","-72","-49","-55","-55","7"
"-73","-74","-73","-53","-59","-56","7"
"-70","-75","-74","-54","-57","-54","7"
"-69","-72","-70","-52","-56","-54","7"
"-71","-75","-71","-53","-59","-53","7"
"-69","-74","-72","-52","-55","-55","7"
"-71","-73","-72","-51","-57","-54","7"
"-68","-72","-75","-51","-53","-54","7"
"-68","-76","-75","-52","-61","-55","7"
"-70","-74","-74","-53","-59","-58","7"
"-69","-73","-72","-51","-57","-54","7"
"-71","-75","-74","-53","-58","-56","7"
"-70","-75","-73","-52","-57","-56","7"
"-73","-76","-75","-54","-59","-56","7"
"-70","-76","-73","-54","-60","-57","7"
"-73","-75","-74","-53","-57","-57","7"
"-72","-76","-74","-53","-59","-56","7"
"-71","-76","-73","-51","-55","-58","7"
"-73","-75","-75","-52","-58","-56","7"
"-68","-74","-73","-54","-58","-75","7"
"-72","-75","-73","-54","-59","-56","7"
"-70","-75","-72","-53","-54","-57","7"
"-70","-75","-73","-55","-64","-55","7"
"-71","-75","-72","-53","-60","-56","7"
"-72","-75","-74","-54","-61","-56","7"
"-71","-76","-74","-54","-62","-57","7"
"-71","-76","-73","-53","-63","-57","7"
"-70","-76","-73","-52","-60","-57","7"
"-72","-75","-75","-54","-59","-56","7"
"-70","-76","-76","-53","-55","-53","7"
"-70","-75","-73","-53","-60","-59","7"
"-73","-76","-72","-45","-46","-66","8"
"-73","-74","-72","-50","-50","-67","8"
"-71","-76","-73","-51","-55","-67","8"
"-71","-75","-71","-50","-49","-68","8"
"-73","-76","-70","-45","-46","-68","8"
"-73","-75","-71","-49","-51","-68","8"
"-72","-75","-72","-50","-51","-67","8"
"-73","-74","-70","-50","-49","-67","8"
"-73","-83","-72","-45","-45","-68","8"
"-73","-77","-73","-51","-50","-68","8"
"-73","-74","-71","-50","-52","-69","8"
"-70","-74","-71","-48","-44","-68","8"
"-74","-76","-73","-49","-43","-69","8"
"-75","-76","-71","-46","-51","-67","8"
"-74","-76","-74","-50","-50","-66","8"
"-69","-77","-73","-50","-48","-67","8"
"-74","-75","-68","-52","-44","-67","8"
"-74","-75","-69","-50","-44","-68","8"
"-73","-74","-69","-49","-50","-67","8"
"-71","-71","-70","-49","-49","-67","8"
"-69","-76","-69","-44","-48","-66","8"
"-72","-76","-71","-44","-50","-68","8"
"-72","-75","-71","-49","-50","-68","8"
"-71","-76","-72","-74","-59","-69","8"
"-71","-76","-70","-51","-49","-67","8"
"-73","-75","-69","-51","-41","-68","8"
"-73","-75","-73","-50","-50","-68","8"
"-72","-72","-71","-49","-47","-66","8"
"-73","-77","-74","-50","-51","-68","8"
"-72","-77","-73","-44","-48","-69","8"
"-72","-77","-71","-51","-51","-70","8"
"-76","-73","-72","-52","-45","-69","8"
"-73","-77","-72","-46","-50","-68","8"
"-69","-77","-71","-69","-48","-67","8"
"-72","-78","-72","-51","-49","-69","8"
"-70","-69","-74","-59","-51","-61","9"
"-71","-69","-75","-56","-52","-57","9"
"-68","-68","-74","-55","-51","-56","9"
"-69","-74","-74","-54","-51","-58","9"
"-70","-67","-75","-60","-50","-58","9"
"-71","-69","-74","-56","-51","-58","9"
"-72","-69","-75","-59","-52","-58","9"
"-71","-71","-74","-58","-54","-59","9"
"-72","-71","-75","-60","-53","-58","9"
"-72","-71","-75","-58","-52","-58","9"
"-70","-70","-76","-60","-52","-59","9"
"-71","-70","-76","-57","-52","-59","9"
"-70","-70","-75","-57","-54","-58","9"
"-70","-70","-75","-56","-53","-58","9"
"-71","-71","-76","-57","-54","-56","9"
"-71","-71","-75","-58","-53","-58","9"
"-73","-71","-75","-58","-53","-59","9"
"-70","-71","-76","-58","-51","-59","9"
"-72","-71","-76","-59","-50","-58","9"
"-72","-71","-75","-60","-53","-58","9"
"-72","-70","-77","-59","-52","-59","9"
"-71","-70","-75","-55","-52","-57","9"
"-70","-74","-74","-56","-52","-57","9"
"-72","-72","-76","-58","-53","-60","9"
"-72","-70","-75","-57","-52","-58","9"
"-72","-70","-76","-56","-52","-59","9"
"-71","-71","-76","-59","-49","-59","9"
"-71","-71","-76","-61","-52","-58","9"
"-71","-70","-75","-58","-52","-59","9"
"-72","-70","-77","-59","-53","-58","9"
"-68","-67","-73","-54","-51","-58","9"
"-71","-70","-76","-58","-54","-59","9"
"-72","-71","-76","-58","-51","-59","9"
"-72","-70","-76","-58","-53","-59","9"
"-72","-71","-76","-60","-52","-58","9"
"-69","-68","-68","-65","-39","-60","10"
"-69","-70","-69","-67","-40","-63","10"
"-71","-70","-69","-66","-41","-61","10"
"-69","-70","-68","-67","-41","-63","10"
"-72","-68","-70","-64","-57","-62","10"
"-69","-70","-67","-67","-41","-62","10"
"-70","-70","-70","-66","-39","-62","10"
"-70","-70","-70","-64","-41","-62","10"
"-72","-72","-69","-66","-47","-63","10"
"-70","-72","-69","-66","-46","-63","10"
"-71","-71","-69","-66","-42","-63","10"
"-70","-71","-69","-67","-41","-63","10"
"-73","-71","-69","-67","-41","-61","10"
"-69","-69","-68","-61","-39","-61","10"
"-72","-70","-69","-66","-40","-60","10"
"-71","-70","-70","-65","-41","-60","10"
"-71","-70","-70","-65","-41","-62","10"
"-69","-69","-70","-65","-40","-62","10"
"-71","-70","-70","-66","-40","-62","10"
"-72","-71","-68","-67","-47","-61","10"
"-72","-72","-68","-63","-45","-61","10"
"-73","-71","-70","-68","-42","-63","10"
"-72","-71","-72","-67","-48","-63","10"
"-70","-72","-70","-69","-41","-64","10"
"-73","-69","-70","-67","-41","-60","10"
"-73","-71","-67","-66","-41","-60","10"
"-70","-70","-69","-67","-40","-61","10"
"-72","-70","-70","-65","-39","-63","10"
"-71","-69","-73","-61","-41","-61","10"
"-72","-70","-69","-67","-40","-60","10"
"-72","-70","-69","-66","-46","-63","10"
"-72","-71","-70","-65","-40","-64","10"
"-69","-71","-69","-66","-39","-63","10"
"-71","-70","-69","-66","-40","-60","10"
"-71","-70","-68","-67","-46","-59","10"
"-76","-75","-74","-43","-57","-54","11"
"-77","-73","-71","-49","-58","-52","11"
"-78","-74","-72","-49","-58","-54","11"
